"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
213285,{MX-INEGI},MX,31.06316199,-114.58206030,1974,Xerosols,,,,,true
213287,{MX-INEGI},MX,31.01563121,-114.79632514,1974,Xerosols,,,,,true
213288,{MX-INEGI},MX,31.01140279,-114.82302233,1974,Xerosols,,,,,true
213295,{MX-INEGI},MX,30.97020027,-115.76676100,1974,Xerosols,,,,,true
213313,{MX-INEGI},MX,30.67607799,-115.71633469,1974,Xerosols,,,,,true
213338,{MX-INEGI},MX,30.24277863,-114.75651067,1974,Yermosols,,,,,true
213353,{MX-INEGI},MX,29.99325252,-114.80800738,1974,Yermosols,,,,,true
213354,{MX-INEGI},MX,29.97131631,-115.43911837,1974,Xerosols,,,,,true
213355,{MX-INEGI},MX,29.93950799,-114.85186597,1974,Xerosols,,,,,true
213363,{MX-INEGI},MX,29.77156506,-114.24249560,1974,Xerosols,,,,,true
213364,{MX-INEGI},MX,29.76554006,-114.54133425,1974,Yermosols,,,,,true
